age,duration,amount,savings,employment,credit_history,purpose,housing,existing_credits,target
56,36,2204,little,4-7yr,critical,repairs,rent,1,1
69,12,7424,none,1-4yr,paid,business,own,2,1
46,36,862,none,>7yr,critical,education,own,2,0
32,48,3104,quite_rich,4-7yr,existing_paid,car,own,3,1
60,18,10408,little,1-4yr,critical,repairs,own,2,0
25,18,13981,none,1-4yr,critical,car,own,2,0
38,18,13143,moderate,<1yr,existing_paid,repairs,rent,4,1
56,18,4786,moderate,>7yr,existing_paid,furniture,own,1,1
36,60,4238,moderate,4-7yr,existing_paid,car,rent,3,1
40,6,2969,little,>7yr,existing_paid,furniture,rent,2,1
28,60,5295,little,4-7yr,critical,car,rent,2,0
28,60,6650,little,1-4yr,existing_paid,education,own,2,0
41,60,14968,none,<1yr,existing_paid,business,own,2,0
70,18,1056,moderate,4-7yr,existing_paid,other,rent,1,1
53,48,9517,quite_rich,4-7yr,critical,other,rent,2,0
57,24,3308,moderate,>7yr,existing_paid,other,own,2,1
41,24,5650,quite_rich,1-4yr,no_credits,furniture,own,3,0
20,6,13213,little,1-4yr,paid,repairs,own,2,0
39,18,8061,moderate,4-7yr,critical,other,free,4,1
70,18,3219,little,4-7yr,delayed,education,rent,2,1
19,18,7006,moderate,4-7yr,existing_paid,other,own,2,1
41,36,12200,little,4-7yr,existing_paid,car,free,3,0
61,12,4241,none,1-4yr,existing_paid,furniture,free,2,0
47,36,10266,little,4-7yr,existing_paid,car,own,4,0
55,12,4498,rich,4-7yr,critical,car,rent,2,0
19,18,10821,little,>7yr,critical,car,rent,2,0
38,18,2903,none,>7yr,existing_paid,business,own,1,1
50,36,12021,little,1-4yr,critical,business,rent,2,0
29,36,9280,quite_rich,1-4yr,existing_paid,repairs,own,1,0
39,12,10704,moderate,>7yr,critical,furniture,own,2,1
61,24,10239,moderate,1-4yr,critical,education,own,1,0
42,12,794,none,>7yr,existing_paid,education,own,1,1
66,36,10677,moderate,<1yr,critical,education,own,1,0
44,48,5843,little,4-7yr,existing_paid,car,own,1,1
59,36,14336,quite_rich,>7yr,existing_paid,business,rent,1,1
45,48,11809,moderate,>7yr,existing_paid,furniture,own,3,1
33,6,10382,none,1-4yr,existing_paid,car,rent,3,1
32,36,1636,none,4-7yr,critical,business,own,2,1
64,6,14044,none,1-4yr,critical,business,rent,3,0
68,24,2564,little,<1yr,existing_paid,other,rent,1,0
61,12,13147,little,4-7yr,critical,other,own,3,0
72,48,7509,moderate,4-7yr,critical,furniture,rent,1,0
69,12,13487,little,>7yr,existing_paid,furniture,own,1,1
74,6,5043,little,1-4yr,existing_paid,furniture,rent,2,0
20,48,13462,none,1-4yr,existing_paid,car,own,1,0
54,12,1507,none,unemployed,delayed,repairs,free,2,0
68,36,5945,quite_rich,1-4yr,critical,furniture,rent,1,0
24,18,11206,little,1-4yr,existing_paid,other,own,3,1
38,6,12218,moderate,4-7yr,critical,repairs,own,2,1
26,12,13373,quite_rich,1-4yr,delayed,car,rent,1,0
56,6,5852,moderate,>7yr,existing_paid,repairs,own,2,1
35,60,9939,quite_rich,>7yr,existing_paid,education,own,1,1
21,6,13781,little,4-7yr,existing_paid,repairs,own,2,1
42,48,12594,rich,>7yr,paid,furniture,own,1,1
31,60,1935,none,4-7yr,existing_paid,car,rent,2,1
67,48,1071,none,1-4yr,no_credits,furniture,own,2,0
26,18,2882,moderate,<1yr,existing_paid,other,own,1,1
43,60,9937,rich,1-4yr,existing_paid,education,rent,4,1
70,36,10776,quite_rich,4-7yr,critical,other,rent,3,0
19,6,5584,none,>7yr,existing_paid,furniture,own,2,1
37,12,777,little,1-4yr,delayed,furniture,own,2,0
45,24,14007,rich,>7yr,existing_paid,furniture,rent,1,1
64,6,7559,little,4-7yr,existing_paid,business,rent,2,1
24,6,2387,quite_rich,<1yr,critical,education,own,1,1
61,18,13271,quite_rich,>7yr,paid,furniture,own,1,1
25,36,1765,little,1-4yr,existing_paid,furniture,own,4,0
